ID	SUBJECT	SESSION	ROW	C_CHAT	C_CLAUSES	C_NP	CONTEXT
10240800007	24	8	7	what's &xxx knife +...	1	1	
10240800009	24	8	9	what's the knife for ?	1	1	
10240800012	24	8	12	&um +...			
10240800013	24	8	13	purple .	0	0	
10240800021	24	8	21	&um +...			
10240800022	24	8	22	orange .	0	0	
10240800027	24	8	27	a bubble .	0	1	
10240800029	24	8	29	I blowed it .	1	2	
10240800032	24	8	32	I blew it like this .	1	3	
10240800034	24	8	34	yeah .	0	0	
10240800035	24	8	35	orange .	0	0	
10240800038	24	8	38	&um +...			
10240800039	24	8	39	green .	0	0	
10240800051	24	8	51	yeah .	0	0	
10240800052	24	8	52	&xxx my t+shirt .	0	1	
10240800058	24	8	58	paint in it ?	0	2	
10240800060	24	8	60	can I paint this ?	1	2	
10240800072	24	8	72	purple stays in purple .	1	2	
10240800074	24	8	74	I want to &xxx on here .	1	2	
10240800077	24	8	77	&um, I'm making something good .	1	2	
10240800079	24	8	79	uh+huh .	0	0	
10240800080	24	8	80	now green .	0	0	
10240800081	24	8	81	I'm making +...	1	1	
10240800087	24	8	87	it makes brown !	1	2	
10240800091	24	8	91	so orange and brown +...	0	2	
10240800093	24	8	93	no .	0	0	
10240800094	24	8	94	orange +...	0	0	
10240800095	24	8	95	and &xxx orange +...	0	0	
10240800102	24	8	102	but this is like a whale .	1	2	
10240800104	24	8	104	something .	0	1	
10240800109	24	8	109	I'm painting .	1	1	
10240800110	24	8	110	what's that ?	1	2	
10240800112	24	8	112	what's that ?	1	2	
10240800115	24	8	115	a video camera .	0	1	
10240800120	24	8	120	&um, I don't know .	1	1	
10240800127	24	8	127	why ?	0	0	
10240800128	24	8	128	look .	1	0	
10240800133	24	8	133	yes .	0	0	
10240800135	24	8	135	and that was orange .	1	1	
10240800137	24	8	137	brown .	0	1	
10240800139	24	8	139	yeah .	0	0	
10240800140	24	8	140	&xxx brown mud .	0	1	
10240800144	24	8	144	no .	0	0	
10240800145	24	8	145	there's not enough space .	1	1	
10240800146	24	8	146	you got to write your name on there, but I'm not finished with my giraffe .	2	5	
10240800149	24	8	149	yeah .	0	0	
10240800151	24	8	151	whale .	0	1	
10240800153	24	8	153	yeah .	0	0	
10240800159	24	8	159	Barney ?	0	1	
10240800161	24	8	161	I'm coloring it green because it look like there's not the brown .	3	4	
10240800162	24	8	162	look .	1	0	
10240800164	24	8	164	look what happens .	2	0	
10240800166	24	8	166	it turns brown .	1	2	
10240800167	24	8	167	see ?	1	0	
10240800168	24	8	168	not Barney anymore .	0	1	
10240800171	24	8	171	I don't know .	1	1	
10240800173	24	8	173	right .	0	0	
10240800176	24	8	176	no .	0	0	
10240800182	24	8	182	look .	1	0	
10240800194	24	8	194	masterpiece ?	0	1	
10240800196	24	8	196	and this one too .	0	1	
10240800197	24	8	197	&xxx I have green on there .	1	3	
10240800199	24	8	199	I don't waste my green .	1	2	
10240800201	24	8	201	no .	0	0	
10240800204	24	8	204	what ?	0	0	
10240800206	24	8	206	no .	0	0	
10240800207	24	8	207	I'm not hungry .	1	1	
10240800208	24	8	208	I ate at school .	1	2	
10240800209	24	8	209	I'm not hungry anymore .	1	1	
10240800215	24	8	215	no .	0	0	
10240800219	24	8	219	yeah .	0	0	
10240800221	24	8	221	yeah .	0	0	
10240800222	24	8	222	a little piece .	0	1	
10240800224	24	8	224	a little piece .	0	1	
10240800227	24	8	227	a little piece like this .	0	2	
10240800228	24	8	228	tiny little piece .	0	1	
10240800229	24	8	229	here .	0	0	
10240800231	24	8	231	&xxx use this one .	1	1	
10240800233	24	8	233	why ?	0	0	
10240800236	24	8	236	yeah .	0	0	
10240800239	24	8	239	why ?	0	0	
10240800248	24	8	248	what ?	0	0	
10240800255	24	8	255	I need to go potty .	1	2	
10240800264	24	8	264	what ?	0	0	
10240800268	24	8	268	did you take my things away ?	1	2	
10240800270	24	8	270	did you take my thing away ?	1	2	
10240800273	24	8	273	you take my +...	1	2	
10240800275	24	8	275	you took my food away .	1	2	
10240800277	24	8	277	&oh .			
10240800281	24	8	281	Mommy I want to put my fingers in there .	1	3	
10240800284	24	8	284	finger+painting .	1	0	
10240800287	24	8	287	I don't want this in there .	1	3	
10240800288	24	8	288	hey .	0	0	
10240800289	24	8	289	it's shrimp .	1	2	
10240800290	24	8	290	it was in there .	1	2	
10240800291	24	8	291	I don't want this on my shrimp .	1	3	
10240800293	24	8	293	I don't like this .	1	2	
10240800297	24	8	297	yeah .	0	0	
10240800305	24	8	305	hey Mommy, could I do finger+paint now ?	1	2	
10240800309	24	8	309	&um, can I do finger+paint &xxx Mommy ?	1	2	
10240800314	24	8	314	no .	0	0	
10240800316	24	8	316	I don't want some .	1	2	
10240800327	24	8	327	I want to do finger+paint .	1	2	
10240800329	24	8	329	can I ?	1	1	
10240800335	24	8	335	why ?	0	0	
10240800340	24	8	340	fingers .	0	1	
10240800341	24	8	341	fingers .	0	1	
10240800344	24	8	344	uh+huh .	0	0	
10240800352	24	8	352	okay .	0	0	
10240800353	24	8	353	with my fingers ?	0	1	
10240800356	24	8	356	and I want &xxx purple .	1	1	
10240800360	24	8	360	now purple .	0	0	
10240800362	24	8	362	yeah .	0	0	
10240800364	24	8	364	&um, I mixed it all up .	1	2	
10240800367	24	8	367	hey .	0	0	
10240800369	24	8	369	look .	1	0	
10240800370	24	8	370	Mommy look what I did .	2	1	
10240800372	24	8	372	look what happens .	2	0	
10240800373	24	8	373	it turns into brown .	1	2	
10240800376	24	8	376	yeah, I'm using all of them .	1	2	
10240800377	24	8	377	I'm +...	1	1	
10240800378	24	8	378	other finger+paint .	0	1	
10240800379	24	8	379	&xxx right there .	0	0	
10240800383	24	8	383	I want to put my fingers in there .	1	3	
10240800392	24	8	392	I want more of it on here .	1	3	
10240800394	24	8	394	no, here .	0	0	
10240800396	24	8	396	put it on there .	1	2	
10240800399	24	8	399	how ?	0	0	
10240800403	24	8	403	look .	1	0	
10240800409	24	8	409	I don't know .	1	1	
10240800412	24	8	412	what ?	0	0	
10240800415	24	8	415	&um, a bird .	0	1	
10240800418	24	8	418	&um, I don't know .	1	1	
10240800421	24	8	421	I don't know .	1	1	
10240800424	24	8	424	&um a turkey .	0	1	
10240800427	24	8	427	&ah, look !	1	0	showing paint on hands
10240800430	24	8	430	look .	1	0	
10240800431	24	8	431	look .	1	0	
10240800434	24	8	434	look .	1	0	
10240800435	24	8	435	look Daddy .	1	0	
10240800436	24	8	436	look Mommy .	1	0	
10240800439	24	8	439	no it doesn't .	1	1	
10240800441	24	8	441	no it doesn't .	1	1	
10240800443	24	8	443	no .	0	0	
10240800444	24	8	444	I want purple .	1	1	
10240800446	24	8	446	please ?	0	0	
10240800449	24	8	449	no, right here .	0	0	
10240800451	24	8	451	yeah, pour it .	1	1	
10240800452	24	8	452	and don't pour too much .	1	1	
10240800454	24	8	454	I'm mixing it .	1	2	
10240800456	24	8	456	I can mix it ?	1	2	
10240800458	24	8	458	why ?	0	0	
10240800459	24	8	459	you got to paint around it .	1	2	
10240800461	24	8	461	mm+hm .	0	0	
10240800462	24	8	462	you can paint on top of it .	1	3	
10240800464	24	8	464	and you can paint around it, like this .	1	3	
10240800466	24	8	466	what ?	0	0	
10240800474	24	8	474	why ?	0	0	
10240800477	24	8	477	in five ?	0	1	
10240800480	24	8	480	yes .	0	0	
10240800483	24	8	483	what ?	0	0	
10240800486	24	8	486	I want to do it by myself .	1	3	
10240800487	24	8	487	I'm finished with this color .	1	2	
10240800488	24	8	488	now I want this color .	1	2	
10240800491	24	8	491	it looks like dark green .	1	2	
10240800493	24	8	493	&um green .	0	0	
10240800496	24	8	496	&um, tree .	0	1	
10240800499	24	8	499	&um +...			
10240800501	24	8	501	lobster .	0	1	
